,date,end_balance_fund2,end_balance_fund3,end_balance_combined,daily_return_combined,daily_drawdown_combined
22,2025-05-23,48238.47012661,50551.06199958,98789.53212619,0.0021290151133543933,-0.0017675028627569581
23,2025-05-24,48238.56133393,50576.49839406001,98815.05972799001,0.00025840391436826593,-0.0015095556780471068
24,2025-05-25,48257.92816813,50573.68789414001,98831.61606227001,0.00016754869475943401,-0.001342259907371184
25,2025-05-26,48004.49383746,50576.85647515,98581.35031261001,-0.0025322438267357805,-0.0038711048047426126
26,2025-05-27,48001.47462689,50591.407140220006,98592.88176711,0.00011697399623167293,-0.0037545836271097306
27,2025-05-28,47997.08541045,50466.327816230005,98463.41322668002,-0.0013131631625882267,-0.005062816408787943
28,2025-05-29,47837.375159920004,50484.250431730004,98321.62559165001,-0.0014400032497714488,-0.006495529186477725
29,2025-05-30,47307.93826154,50484.58481703,97792.52307857,-0.005381344235270147,-0.011841918743205152
30,2025-05-31,47306.59459496,51035.99528104001,98342.58987600001,0.005624834906734932,-0.006283692674379781
31,2025-06-01,47346.06436803,50986.91712723,98332.98149526,-9.77031492879199e-05,-0.006380781887104238
32,2025-06-02,47392.084673800004,50989.46843361,98381.55310741,0.0004939503654970423,-0.005889983311152454
33,2025-06-03,47409.68592895,50814.75376158,98224.43969053001,-0.001596980449256158,-0.007477557572214263
34,2025-06-04,47003.23786929,50935.65261790001,97938.89048719002,-0.0029071095161210536,-0.010362929009559738
35,2025-06-05,46406.05074492,50938.742200160006,97344.79294508,-0.006066002373058543,-0.01636606983065446
36,2025-06-06,46401.11666872,50935.86842867,97336.98509739,-8.020816988540957e-05,-0.016444965308030517
37,2025-06-07,46419.43051196,51362.200028260006,97781.63054022001,0.004568103710887783,-0.011951983904191872
38,2025-06-08,46417.91439997,51364.55107844,97782.46547841001,8.538804122881771e-06,-0.011943547155718374
39,2025-06-09,46465.96873058,51441.78708698,97907.75581756001,0.0012813170391747786,-0.010677533587022465
40,2025-06-10,46464.20435876,51748.91996582,98213.12432458,0.0031189409303693516,-0.007591895253193168
41,2025-06-11,46461.63553056,51871.814457270004,98333.44998783001,0.00122514851327149,-0.006376047939103988
42,2025-06-12,46490.00006716,51874.908316760004,98364.90838392,0.0003199155129194331,-0.006058172222831425
43,2025-06-13,47003.08310597,52262.687974010005,99265.77107998001,0.009158374778777123,0.0
44,2025-06-14,47001.11579774,52255.626538230004,99256.74233597,-9.095525992275366e-05,-9.095525992270543e-05
45,2025-06-15,47002.08156015,52252.40789436,99254.48945451001,-2.2697515624336972e-05,-0.00011365071108863127
46,2025-06-16,47002.52124787,52252.7984967,99255.31974457,8.365264529075489e-06,-0.00010528639727771425
47,2025-06-17,47012.496794520004,52243.098988130005,99255.59578265001,2.7810910359082897e-06,-0.00010250559905291271
48,2025-06-18,47012.03702792,52230.85709196,99242.89411988,-0.00012796923609048605,-0.00023046171758014274
49,2025-06-19,47011.430879700005,52391.50197551,99402.93285521,0.001612596415585088,0.0
50,2025-06-20,47046.74765351,52544.561783590005,99591.3094371,0.0018950807232658295,0.0
51,2025-06-21,46934.64289498,52417.87293184,99352.51582682,-0.002397735421189706,-0.002397735421189726
52,2025-06-22,46934.19191781,52554.48871443,99488.68063224,0.0013705219670263613,-0.0010304996032292283
53,2025-06-23,46933.91991782,52422.56783154,99356.48774936,-0.0013287228460555633,-0.002357853200919165
54,2025-06-24,46556.012534400004,52034.008525460005,98590.02105986001,-0.007714309421177568,-0.010053973412935086
55,2025-06-25,46553.752936410005,52280.601225750004,98834.35416216002,0.002478274166831218,-0.007600615748687057
56,2025-06-26,46554.34123443,52135.74982193,98690.09105636,-0.0014596453533082254,-0.00904916689853538
57,2025-06-27,46553.84967095,51531.016951900005,98084.86662285001,-0.0061325754899178575,-0.015126247689327124
58,2025-06-28,46575.76762184,51364.00850629,97939.77612813,-0.0014792342561661398,-0.016583106681743925
59,2025-06-29,46582.89310803,51434.51824849,98017.41135652,0.0007926833352001061,-0.015803568498856356
60,2025-06-30,46720.347958700004,50981.52991525,97701.87787395,-0.003219157476239687,-0.018971851799411635
61,2025-07-01,46913.37005648,50973.56389335,97886.93394983001,0.001894089242775454,-0.017113696937044946
62,2025-07-02,46758.33509788,51054.402867540004,97812.73796542,-0.0007579763857762378,-0.017858701544669533
63,2025-07-03,47132.87255854,51465.353058040004,98598.22561658,0.008030525139145928,-0.009971591157230552
64,2025-07-04,47121.76206021,51545.47907198,98667.24113219,0.0006999671158218757,-0.009278603827311141
65,2025-07-05,47124.81787192,51665.48055914,98790.29843106,0.0012471950918859775,-0.008042980964578112
66,2025-07-06,47137.04610184,51680.974603400005,98818.02070524001,0.0002806173745830698,-0.007764620590197095
67,2025-07-07,47210.03553431,51681.973425610006,98892.00895992,0.0007487324088455427,-0.007021701804429725
68,2025-07-08,47187.074161230004,51677.4591985,98864.53335973,-0.00027783438195827515,-0.007297585316206906
69,2025-07-09,47028.50578415,51695.04486144,98723.55064559,-0.0014260191127086763,-0.008713197932778072
70,2025-07-10,46666.154397770006,51711.959986600006,98378.11438437001,-0.0034990259057849915,-0.012181736133273993
71,2025-07-11,46623.44088906,51350.3394595,97973.78034856,-0.004109999854543411,-0.016241669054081507
72,2025-07-12,46623.40234699,51025.61226829,97649.01461528,-0.0033148229263439966,-0.019502653723482977
73,2025-07-13,46604.89072429,51019.18821424,97624.07893853,-0.00025536024964756265,-0.01975303377060695
74,2025-07-14,46633.24167868,50983.73605929,97616.97773797001,-7.274025667847184e-05,-0.019824337186538803
75,2025-07-15,46633.38435568,50902.144535670006,97535.52889135,-0.0008343717302807807,-0.020642168050299604
76,2025-07-16,46632.830250830004,50903.928300750005,97536.75855158002,1.2607305706957561e-05,-0.020629820986715747
77,2025-07-17,46303.99106094,50450.26734102,96754.25840196,-0.008022617946711885,-0.028486933761342186
78,2025-07-18,46565.454958350005,50115.88202438,96681.33698273,-0.0007536765867921513,-0.029219140413128952
79,2025-07-19,46291.50618435,49787.55194256,96079.05812691001,-0.0062295255177075015,-0.03526664455002741
80,2025-07-20,46295.410568390005,49198.75487677,95494.16544516,-0.006087618812597229,-0.04113957347380475
81,2025-07-21,46085.51090893,49199.957259200004,95285.46816813,-0.0021854453207390545,-0.04323511050619827
82,2025-07-22,46083.664641510004,49988.00531021,96071.66995172,0.00825101454298105,-0.0353408294887712
83,2025-07-23,46081.792013720005,49991.49712223,96073.28913595,1.6853919899695313e-05,-0.03532457120038083
84,2025-07-24,46083.06243227,49957.501865340004,96040.56429761,-0.00034062369087517474,-0.03565316250543509
85,2025-07-25,46059.12219516,49970.27647317,96029.39866833,-0.00011625951348437358,-0.035765276999592394
86,2025-07-26,46060.82580087,49974.47079069,96035.29659156,6.141789193514491e-05,-0.03570605573557508
87,2025-07-27,46245.98377957,49970.41729664,96216.40107621,0.0018858116867199737,-0.033887578946047894
88,2025-07-28,46279.79635365,49337.422905210005,95617.21925886002,-0.006227439507692556,-0.03990398560579173
89,2025-07-29,47567.282037130004,49275.75545224,96843.03748937,0.01282005730778879,-0.027595499680278374
90,2025-07-30,47634.659439070005,49270.90493945,96905.56437852001,0.0006456518792778976,-0.02696766488722856
91,2025-07-31,47538.85987726,49277.43869118,96816.29856844,-0.0009211628935086313,-0.02786398616851849
92,2025-08-01,47706.78622363,49308.3824343,97015.16865793,0.0020540972174165617,-0.025867124287556897
93,2025-08-02,47705.62820444,49317.8736596,97023.50186404001,8.58959091170064e-05,-0.02578345025859686
94,2025-08-03,47708.36722352,49318.97935749,97027.34658101,3.962665638868046e-05,-0.025744845314132077
95,2025-08-04,47717.46436489,48934.957821300006,96652.42218619,-0.003864110562963541,-0.029509474948375386
96,2025-08-05,47706.939570400005,48666.074914950004,96373.01448535001,-0.0028908504776190558,-0.032315017946245694
97,2025-08-06,47257.0659174,48668.56891332,95925.63483072,-0.004642167281153409,-0.03680717350839915
98,2025-08-07,47182.09704411,48671.076694890005,95853.173739,-0.0007553881905275617,-0.03753475799473181
99,2025-08-08,47334.726649820004,48669.991794910005,96004.71844473001,0.0015810087430454534,-0.03601309203224422
100,2025-08-09,47182.24344911,48180.28863706,95362.53208617,-0.006689112462005875,-0.042461308871541835
101,2025-08-10,47183.830890740006,48457.885077950006,95641.71596869001,0.0029276055953268987,-0.03965801324165218
102,2025-08-11,47042.41744645,48462.90230447,95505.31975092,-0.0014261163801647658,-0.04102757267952825
103,2025-08-12,46926.42124901,48457.38050684,95383.80175585,-0.0012723688626656848,-0.04224773933620571
104,2025-08-13,46988.91074092,48454.87987641,95443.79061733,0.0006289208479397512,-0.04164538897231288
105,2025-08-14,46965.31762165,47936.98656839,94902.30419004,-0.005673354167805678,-0.047082474099022595
106,2025-08-15,46968.3762746,47951.599091770004,94919.97536637,0.00018620387018852824,-0.046905037167729334
107,2025-08-16,46969.53781509,48241.61450367,95211.15231876,0.0030676045928808016,-0.04398131868229359
108,2025-08-17,46990.373846610004,48264.395709100005,95254.76955571001,0.0004581105877594638,-0.04354335640228601
109,2025-08-18,46571.87259557,48261.44864799,94833.32124356,-0.004424432646425336,-0.04777513440111017
110,2025-08-19,46740.023079670005,48426.72417095,95166.74725062001,0.00351591616414737,-0.04442719160424797
111,2025-08-20,46773.876708560005,48334.79693913,95108.67364769001,-0.0006102299869203964,-0.04501031078661679
112,2025-08-21,46783.699087580004,48264.493018060006,95048.19210564002,-0.0006359203606817188,-0.04561760817422864
113,2025-08-22,46809.63335959,48526.460211870006,95336.09357146,0.0030290051756061143,-0.04272677896988103
114,2025-08-23,46571.195306300004,48648.24881825,95219.44412455,-0.0012235601705513632,-0.043898060355468935
115,2025-08-24,46657.45012154,48646.55049575,95304.00061729,0.0008880170800975584,-0.043049025502750166
116,2025-08-25,46495.81217504,48267.81549588,94763.62767092,-0.005669992265486923,-0.04847493012659979
117,2025-08-26,46491.93612833,48266.42149551,94758.35762384001,-5.561255103370133e-05,-0.048527846863108
118,2025-08-27,46493.414997060005,48310.18985113,94803.60484819,0.0004775011459106082,-0.04807351781968307
119,2025-08-28,46490.689279340004,48354.5411152,94845.23039454,0.000439071345616604,-0.047655554178224084
120,2025-08-29,46350.22487096,48392.83661916,94743.06149012,-0.0010772171040651646,-0.048681435904224794
121,2025-08-30,46351.32903151,48456.752031740005,94808.08106325,0.0006862726632153038,-0.04802857197967654
122,2025-08-31,46352.663477400005,48304.467793070005,94657.13127047001,-0.001592161671105763,-0.04954426439935834
123,2025-09-01,45989.336454410004,48306.385159720005,94295.72161413002,-0.003818092218612845,-0.05317319204759108
124,2025-09-02,46238.183548760004,48276.322732960005,94514.50628172001,0.002320197182278161,-0.05097636715567445
125,2025-09-03,45744.279266080004,48350.81339029,94095.09265637,-0.00443755823153591,-0.055187714789524944
126,2025-09-04,45766.82395563,48378.05847036,94144.88242599001,0.0005291431063449981,-0.05468777388201579
127,2025-09-05,45729.243834700006,48379.76244764,94109.00628234001,-0.0003810737527683017,-0.055048007559560366
128,2025-09-06,45586.18366632,48374.686268670004,93960.86993499001,-0.0015740932053364132,-0.05653545007022999
129,2025-09-07,45602.75379268,48391.620624250005,93994.37441693,0.0003565790947144265,-0.05619903033512094
130,2025-09-08,45655.35240461001,48385.489399720005,94040.84180433,0.0004943634944989395,-0.05573244958964588
131,2025-09-09,45671.02546017,48472.809936850004,94143.83539702001,0.0010952006672197978,-0.054698287138402524
132,2025-09-10,45789.11836406,48473.332150710004,94262.45051477,0.0012599350477890958,-0.05350726837963321
133,2025-09-11,45896.45104774,48475.724614950006,94372.17566269002,0.00116403878024407,-0.05240551413480806
134,2025-09-12,45894.09880529,48478.403536460006,94372.50234175,3.4616035680112844e-06,-0.052402233938354824
135,2025-09-13,45391.61409775,48477.05891344,93868.67301119,-0.005338730223932164,-0.05746120277215873
136,2025-09-14,45392.79738787,48342.28526509,93735.08265296,-0.00142316231757178,-0.058802588471222834
137,2025-09-15,45435.95090738,48505.062488890006,93941.01339627,0.0021969441694784653,-0.05673483030563645
138,2025-09-16,45586.62808655,48448.309318650005,94034.9374052,0.000999818987834411,-0.05579173587841315
139,2025-09-17,45578.48055998,48440.593318310006,94019.07387829002,-0.00016869822374243615,-0.05595102213541341
140,2025-09-18,45567.925241490004,48280.45042123,93848.37566272,-0.0018155700596560465,-0.05766500919447321
141,2025-09-19,45657.04876862,47821.81088638,93478.85965500001,-0.003937372438368003,-0.06137533301498064
142,2025-09-20,45656.862645860005,47658.34614318,93315.20878904001,-0.001750672468234793,-0.06301855737747737
143,2025-09-21,45631.00105119,47658.61741102,93289.61846221,-0.0002742353273609277,-0.06327551079012608
144,2025-09-22,45674.145890570006,47604.840315500005,93278.98620607001,-0.00011397041080507542,-0.0633822696649725
145,2025-09-23,45677.135118130005,47525.98778249,93203.12290062002,-0.0008132947037224891,-0.06414401590446651
146,2025-09-24,45679.28174879,47520.49210571,93199.7738545,-3.593276722690941e-05,-0.06417764379970096
147,2025-09-25,45726.69694216,47521.934689400005,93248.63163156001,0.0005242263477622799,-0.06368706106375585
148,2025-09-26,45761.490089650004,47645.751872650006,93407.2419623,0.0017009400348810821,-0.06209444890074211
149,2025-09-27,45760.78580319,47844.025678950005,93604.81148214001,0.0021151413497439986,-0.060110646087457614
150,2025-09-28,45311.43483476,47937.114604710005,93248.54943947,-0.0038060227570457794,-0.06368788635755376
151,2025-09-29,45313.088091390004,47937.87091604,93250.95900743,2.5840272845911727e-05,-0.06366369179706834
152,2025-09-30,45313.24232466,47937.10621979,93250.34854445001,-6.54645256725761e-06,-0.063669821478297
153,2025-10-01,45455.997401750006,47515.010728810004,92971.00813056002,-0.0029955964588898043,-0.06647468884542826
154,2025-10-02,45274.930909500006,47211.78655086,92486.71746036,-0.005209050433441886,-0.07133746927212692
155,2025-10-03,45275.51561178,47210.237876540006,92485.75348832001,-1.042281601570938e-05,-0.07134714855082537
156,2025-10-04,45903.49609039,47209.31322032,93112.80931071,0.0067800260984971494,-0.06505085798155615
157,2025-10-05,45992.42025948,47207.21430112,93199.63456060001,0.0009324737437603758,-0.06417904245487259
158,2025-10-06,45986.765759300004,47265.941819800006,93252.70757910001,0.000569455221044679,-0.06364613432463538
159,2025-10-07,45990.91437268,46143.548934180006,92134.46330686001,-0.011991547497872568,-0.07487446617969813
160,2025-10-08,45990.38784646,46144.31964613,92134.70749259001,2.6503191230542456e-06,-0.07487201430180457
161,2025-10-09,45977.11312599,46221.73513826,92198.84826425,0.0006961629705630745,-0.07422797445512996
162,2025-10-10,46054.922459580004,45397.438223970006,91452.36068355001,-0.008096495723682984,-0.08172348370105928
163,2025-10-11,46093.12085847,45400.68361018,91493.80446864999,0.0004531734860666603,-0.08130734513099502
164,2025-10-12,46095.74441023,45664.13934421,91759.88375444,0.002908167250616156,-0.07863563323872334
165,2025-10-13,46100.82602877,45702.209022400006,91803.03505117001,0.0004702632017874464,-0.07820234948159732
166,2025-10-14,46142.896547590004,45899.21658277,92042.11313036,0.002604250274043096,-0.07580175769762257
167,2025-10-15,46135.51778829,45903.13274596,92038.65053425,-3.761969377091834e-05,-0.07583652575248163
168,2025-10-16,46139.82731084,45730.803001730004,91870.63031257,-0.0018255398216369123,-0.07752362297642279
169,2025-10-17,46147.97715952,45717.93435085,91865.91151037,-5.136355529455905e-05,-0.07757100464282195
170,2025-10-18,46147.76666478,45717.39082909,91865.15749387,-8.207794247039324e-06,-0.07757857575022337
171,2025-10-19,45872.19151545,45977.341829330006,91849.53334478001,-0.00017007698583704212,-0.07773545840573125
172,2025-10-20,45820.64608767,45995.04803312,91815.69412079,-0.00036842020593608193,-0.0780752392980729
173,2025-10-21,45813.646529490004,45987.996544710004,91801.64307420001,-0.00015303534678401398,-0.07821632637353566
